item,itemLabel,startDate,endDate,psid
Q18759051,Surendra Kumar Sinha,2015-01-17,2017-11-11,Q18759051-4CD5B6E9-7039-4A6E-ADB5-9803BE6787F9
Q20646261,Syed A. B. Mahmud Hossain,1975-11-18,1978-01-31,Q20646261-56F81843-EA02-419A-A364-8F966F91AE9B
Q20823945,A.B.M. Khairul Haque,2010-10-01,2011-05-17,Q20823945-10F33E09-9ED9-474B-9531-DD4116CDE4A3
Q20823946,A. T. M. Afzal,1995-05-01,1999-05-31,Q20823946-B5A3DFC2-BD54-47EF-8365-DEB28F13886E
Q20823952,M M Ruhul Amin,2008-06-01,2009-12-22,Q20823952-cb54ceee-4efa-c9bf-fb48-e9348cc30569
Q20823987,Kemaluddin Hossain,1978-02-01,1982-04-11,Q20823987-A4483683-2E6D-43D5-9FFA-3E99CD9CD4ED
Q20824019,Khondokar Mahmud Hasan,2003-06-23,2004-01-26,Q20824019-3A0EACC5-E373-4D50-BB1D-E1454399E646
Q20824244,Badrul Haider Chowdhury,1989-12-01,1990-01-01,Q20824244-6661714D-E104-40D9-B871-AF1C5FC2B255
Q20824318,Mainur Reza Chowdhury,2002-06-18,2003-06-22,Q20824318-115A45FC-6F74-4A3C-B02A-27645DFC58B9
Q20824325,Mahmudul Amin Choudhury,2001-03-01,2002-06-17,Q20824325-45d8ed6e-449d-6096-4cad-4f99c46ce834
Q20824341,Md. Muzammel Hossain,2011-05-18,2015-01-16,Q20824341-99BE7A22-42EF-4576-B872-29EF093DAC61
Q20824342,Md. Tafazzul Islam,2009-12-23,2010-02-07,Q20824342-FBEDA6A6-2FE6-4BD1-9043-7C7A4959C15B
Q20824343,Md. Ruhul Amin,2007-03-01,2008-05-31,Q20824343-F17365A8-8E8B-4E85-BB8F-46F17508FC35
Q20824356,Mohammad Fajlul Karim,2010-02-08,2010-09-30,Q20824356-7CBE7D3B-01E1-4578-811C-CF2AE5F1E85B
Q20824696,J. R. Mudassir Husain,2004-01-27,2007-02-28,Q20824696-214C531E-32CE-4E60-A31E-596A1F4DDA38
Q2093148,Latifur Rahman,2000-01-01,2001-02-28,Q2093148-4bb257cb-45f7-05ee-9058-061b8b0d50da
Q2093175,Muhammad Habibur Rahman,1995-02-01,1995-04-30,Q2093175-5261934D-9103-4DF8-BB37-88EBA941E66D
Q2641682,Abu Sadat Mohammad Sayem,1972-12-16,1975-11-05,Q2641682-7F951232-8C92-45B6-8404-4D6ED283CACB
Q27661809,Fazle Kaderi Mohammad Abdul Munim,1982-04-12,1989-11-30,Q27661809-ABD7041A-7B91-40A3-A004-4ABABAB86FFF
Q465481,Shahabuddin Ahmed,1990-01-14,1995-01-31,Q465481-4C1B0F65-2D0C-439F-89D7-9D4C1844385C
Q47536204,Syed Mahmud Hossain,2018-02-02,2021-12-30,Q47536204-8c116de0-4eb9-3430-fba5-01d05911d7a4
Q50591929,Hasan Foez Siddique,2021-12-30,,Q50591929-5ACBFBFA-E61A-42F6-A056-4CD402B49C59
Q60441145,Md. Abdul Wahhab Miah,2017-11-11,2018-02-02,Q60441145-36FFA79E-232D-4E50-AB9E-F0EBD6AAFA9A
Q6943273,Mustafa Kamal,1999-06-01,1999-12-31,Q6943273-84A95037-7FD8-4D36-A1F4-CDA86665B386
