item,itemLabel,startDate,endDate
Q4648033,Abdul Karim Khandker,1972-04-07,1975-10-15
Q16014524,Muhammad Ghulam Tawab,1975-10-15,1976-04-30
Q6398869,Khademul Bashar,1976-05-01,1976-09-01
Q27947569,Abdul Gafoor Mahmud,1976-09-05,1977-12-08
Q27947566,Sadruddin Mohammad Hossain,1977-12-09,1981-07-22
Q28179433,Sultan Mahmud,1981-07-23,1987-07-22
Q27947567,Momtaz Uddin Ahmed,1987-07-23,1991-06-04
Q27916183,Altaf Hossain Chowdhury,1991-06-04,1995-06-03
Q27916509,Jamal Uddin Ahmed,1995-06-04,2001-06-03
Q28225469,Mohammad Rafiqul Islam,2001-06-04,2002-04-08
Q26132978,Fakhrul Azam,2002-04-08,2007-04-07
Q7461312,Shah Mohammad Ziaur Rahman,2007-04-08,2012-06-12
Q27016832,Muhammad Enamul Bari,2012-06-13,2015-06-12
Q25587546,Abu Esrar,2015-06-12,2018-06-12
Q55084246,Masihuzzaman Serniabat,2018-06-12,2021-06-12
Q107213763,Shaikh Abdul Hannan,2021-06-12,
