item,itemLabel,startDate,endDate,sourceDate,psid
Q16346252,Mustafizur Rahman,1997-12-24,2000-12-23,,Q16346252-3C9C3281-C8EF-45D2-AB13-16200983CC6D
Q109332101,Mohammed Harun-Ar-Rashid,2000-12-24,2002-06-15,2022-05-28,Q109332101-DFBFD82F-E94B-48A0-B91B-541BF498B237
Q5678233,Hasan Mashhud Chowdhury,2002-06-16,2005-06-15,,Q5678233-F84223B2-0C9D-46F8-AACA-C982AADA97AF
Q6890056,Moeen Uddin Ahmed,2005-06-16,2009-06-15,2022-05-28,Q6890056-24F4E356-F575-48BB-8228-C95C98CBC68C
Q13059446,Mohammed Abdul Mubeen,2009-06-16,2012-06-25,2022-05-28,Q13059446-68616F70-8133-4A4B-914B-494D07E980E1
Q11206567,Iqbal Karim Bhuiyan,2012-06-26,2015-06-25,,Q11206567-06C63501-F9BA-4F2B-BC94-E4F5A25DE457
Q20265428,Abu Belal Muhammad Shafiul Haq,2015-06-25,2018-06-25,2022-05-28,Q20265428-73560D84-7870-4CC3-A857-CE824CBBB494
Q27627669,Aziz Ahmed,2018-06-25,2021-06-24,,Q27627669-FBA7FFB3-33B2-4267-A550-A84291C7A727
Q66817788,SM Shafiuddin Ahmed,2021-06-24,,2021-11-08,Q66817788-0ce6d77e-4942-c1e4-8074-c1a8593c731b
