item,itemLabel,startDate,endDate
Q13057556,Kazi Muhammad Shafiullah,1972-04-07,1975-08-25
Q198313,Ziaur Rahman,1975-08-25,1975-11-03
Q3349723,Khaled Mosharraf,1975-11-03,1975-11-07
Q198313,Ziaur Rahman,1975-11-07,1978-04-28
Q461816,Hussain Mohammad Ershad,1978-04-29,1986-08-30
Q4815843,Atiqur Rahman,1986-08-31,1990-08-30
Q7070297,Nuruddin Khan,1990-08-31,1994-08-30
Q4670336,Abu Saleh Mohammad Nasim,1994-08-31,1996-05-19
Q6932591,Muhammad Mahbubur Rahman,1996-05-27,1997-12-23
Q16346252,Mustafizur Rahman,1997-12-24,2000-12-23
Q109332101,Mohammed Harun-Ar-Rashid,2000-12-24,2002-06-15
Q5678233,Hasan Mashhud Chowdhury,2002-06-16,2005-06-15
Q6890056,Moeen Uddin Ahmed,2005-06-16,2009-06-15
Q13059446,Mohammed Abdul Mubeen,2009-06-16,2012-06-25
Q11206567,Iqbal Karim Bhuiyan,2012-06-26,2015-06-25
Q20265428,Abu Belal Muhammad Shafiul Haq,2015-06-26,2018-06-25
Q27627669,Aziz Ahmed,2018-06-25,2021-06-24
Q66817788,SM Shafiuddin Ahmed,2021-06-24,
