name,start_date,position
MR. A. K. M MOZAMMEL HUQ,2019-01-07,Minister of Liberation War Affairs
MR. OBAIDUL QUADER,2019-01-07,Minister of Road Transport and Bridges
MR. MUHAMMAD ABDUR RAZZAQUE,2019-01-07,Minister of Agriculture
MR. ASADUZZAMAN KHAN,2019-01-07,Minister of Home Affairs
MR. MOHAMMAD HASAN MAHMUD,2019-01-07,Minister of Information and Broadcasting
MR. ANISUL HUQ,2019-01-07,"Minister of Law, Justice and Parliamentary Affairs"
MR. A H M MUSTAFA KAMAL,2019-01-07,Minister of Finance
MR. MD.TAZUL ISLAM,2019-05-19,"Minister of Local Government, Rural Development and Co-operatives"
DR. DIPU MONI,2019-01-07,Minister of Education
MR. A.K ABDUL MOMEN,2019-01-07,Minister of Foreign Affairs
MR. M. A. MANNAN,2019-01-07,Minister of Planning
MR. NURUL MAJID MAHMUD HUMAYUN,2019-01-07,Minister of Industries
MR. GOLAM DASTAGIR GAZI,2019-01-07,Minister of Textiles and Jute
MR. ZAHID MALEQUE,2019-01-07,Minister of Health and Family Welfare
MR. SADHAN CHANDRA MAJUMDER,2019-01-07,Minister of Food
MR. TIPU MUNSHI,2019-01-07,Minister of Commerce
MR. NURUZZAMAN AHMED,2019-01-07,Minister of Social Welfare
MR. S.M REZAUL KARIM,2020-02-13,Minister of Fisheries and Livestock
MR. MD. SHAHAB UDDIN,2019-01-07,"Minister of Environment, Forest and Climate Change"
MR. BIR BAHADUR USHWE SING,2019-01-07,Minister of Chittagong Hill Tracts Affairs
MR. SAIFUZZAMAN CHOWDHURY,2019-01-07,Minister of Land
MR. MD. NURUL ISLAM SUJAN,2019-01-07,Minister of Railways
ARCH. YEAFESH OSMAN,2019-01-07,Minister of Science and Technology
MR. MUSTAFA JABBAR,2019-05-19,"Minister of Posts, Telecommunications and Information Technology"
MR. IMRAN AHMAD,2019-07-13,Minister of Expatriates' Welfare and Overseas Employment
