item,itemLabel,position,positionLabel,start,psid
Q14325293,Obaidul Quader,Q96717848,Minister of Road Transport and Bridges,2011-12-05,Q14325293-22a81dbe-42a8-c0db-220a-bbec7cac69ae
Q15732454,Golam Dastagir Gazi,Q109768066,Minister of Textiles and Jute,2019-01-07,Q15732454-1A45704F-A686-4EE3-83A5-FABA8D99239A
Q15837138,Nurul Islam Sujan,Q109768056,Minister of Railways,2019-01-07,Q15837138-9660D051-586D-466C-8416-1298BA49FDBE
Q16057946,Abdur Razzak,Q109767976,Minister of Agriculture,2019-01-01,Q16057946-3EC1781A-E34E-4B64-BB8E-167084D6A1A4
Q16136994,Mustafa Jabbar,Q109768053,"Minister of Posts, Telecommunications and Information Technology",2019-05-19,Q16136994-6C7459F5-923B-4B5B-B60F-53342CC97473
Q16732958,Muhammad Hasan Mahmud,Q109768031,Minister of Information and Broadcasting,2019-01-07,Q16732958-06DD2ACC-99FC-4575-94BD-ECC085929092
Q24175641,Anisul Huq,Q109768040,"Minister of Law, Justice and Parliamentary Affairs",2014-01-12,Q24175641-A7B8D8E2-1094-48BE-B77E-5C696AA608D6
Q26703296,Asaduzzaman Khan,Q96609943,Minister of Home Affairs (Bangladesh),2014-01-12,Q26703296-D6E1BABE-0A1C-4E63-8CDD-0C41EEBE3471
Q26923392,Abul Kalam Abdul Momen,Q1153140,Minister of Foreign Affairs of Bangladesh,2019-01-07,Q26923392-197ADE06-A4F6-4CE0-9C0F-46D9A66D00F6
Q26924694,M A Mannan,Q109767996,Minister of Planning,2019-01-07,Q26924694-1FD69B9D-B775-4CD6-8341-A7BABAAAF668
Q26924748,Zahid Maleque,Q60329855,Minister of Health and Family Welfare,2019-01-07,Q26924748-4BDA613A-B8E2-4EAA-B1F5-A9B7EFE7A9E5
Q26924794,Ushwe Sing,Q109767983,Minister of Chittagong Hill Tracts Affairs,2019-01-07,Q26924794-FC839647-4F4E-440A-AD3A-9D2E33D1B655
Q27063150,Nuruzzaman Ahmed,Q109768065,Minister of Social Welfare,2019-01-07,Q27063150-C8420FBB-DD1F-4E7B-94A1-3C744D385AA7
Q27063153,Saifuzzaman Chowdhury,Q60329160,Land Minister of Bangladesh,2019-01-07,Q27063153-AA2AAD36-A6D5-40D5-98B6-BBAEF5EE5BAC
Q28225262,AKM Mozammel Haque,Q109768043,Minister of Liberation War Affairs,2014-01-05,Q28225262-26EF86ED-C2C4-46A9-82AC-F659779FF910
Q28457273,Imran Ahmad,Q109767991,Minister of Expatriates' Welfare and Overseas Employment,2019-07-13,Q28457273-76C13FE6-D2E3-445E-A9F7-B0D95EAA02DC
Q52161621,Tipu Munshi,Q109767985,Minister of Commerce,2019-01-01,Q52161621-224A65A1-9640-4FD0-804A-FE1E4DF10A27
Q52224610,Sadhan Chandra Majumder,Q109767977,Minister of Food,2019-01-07,Q52224610-58257A3C-DE5C-430B-B400-88823F110DEE
Q55694403,Md.Tajul Islam,Q109768045,"Minister of Local Government, Rural Development and Co-operatives",2019-01-07,Q55694403-B25761D3-8CEC-47A1-9F68-38CF67B9B052
Q55694421,Md. Shahab Uddin,Q109767989,"Minister of Environment, Forest and Climate Change",2019-01-07,Q55694421-AFBE450F-5D15-4C4E-9BF9-5A6F464423FA
Q56043363,Nurul Majid Mahmud Humayun,Q109768021,Minister of Industries,2019-01-07,Q56043363-B49A7BE4-8784-4EEA-AA85-143FFB9A1499
Q66141625,SM Rezaul Karim,Q109768005,Minister of Fisheries and Livestock,2020-02-13,Q66141625-43A19014-71C2-4E74-BDA1-936856E67C9D
Q6943274,Mustafa Kamal,Q17068694,Minister of Finance,2019-01-07,Q6943274-8A817F4C-8112-4409-AF69-0450D4891BC3
Q8046660,Yafes Osman,Q29383100,Minister of Science and Technology,2009-01-01,Q8046660-c6143cd6-4318-8caf-59d5-af86aee98d07
Q52183,Sheikh Hasina,Q14565638,Prime Minister of Bangladesh,2009-01-06,Q52183-df101ad0-4630-ee43-ece5-e6a38198927f
Q58264,Dipu Moni,Q25586320,Minister of Education,2019-01-07,Q58264-9120DA7B-6BF2-4ED7-9669-4782ECDAB136
