item,itemLabel,startDate,endDate
Q28131691,Nurul Huq,1972-04-07,1973-11-06
Q6712637,Musharraf Hussain Khan,1973-11-07,1979-11-03
Q6733641,Mahbub Ali Khan,1979-11-04,1984-08-06
Q28225240,Sultan Ahmed,1984-08-06,1990-08-14
Q27628090,Amir Ahmed Mustafa,1990-08-15,1991-05-02
Q27062983,Muhammad Mohaiminul Islam,1991-06-04,1995-06-03
Q28225241,Mohammad Nurul Islam,1995-06-04,1999-06-03
Q27983620,Abu Taher,1999-06-04,2002-06-03
Q7461278,Shah Iqbal Mujtaba,2002-06-04,2005-01-09
Q6712653,M. Hasan Ali Khan,2005-01-09,2007-02-09
Q7424817,Sarwar Jahan Nizam,2007-01-10,2009-01-28
Q8064679,Zahir Uddin Ahmed,2009-01-29,2013-01-28
Q6720488,M. Farid Habib,2013-01-28,2016-01-27
Q22276725,Mohammad Nizamuddin Ahmed,2016-01-27,2019-01-26
Q27628122,Aurangzeb Chowdhury,2019-01-26,2020-07-25
Q97685559,M Shaheen Iqbal,2020-07-25,
